url,score,len_url,is_https,is_private_ip,domain_age,is_sensitive_form,has_redirect,has_script,has_privacy,has_contact,age_of_domain,is_vietnam
https://www.24h.com.vn/,111,23,1,0,7707,0,1,1,0,0,7707,1
https://tinnhiemmang.vn/,106,24,1,0,1872,0,0,0,0,0,1872,1
http://127.0.0.1:8000/websites?is_blacklisted=1,62,47,0,0,0,0,0,0,0,0,0,2
https://vingroupfund.com/,80,25,1,0,235,0,0,0,0,0,235,2
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://www.24h.com.vn/,120,23,1,0,7707,0,1,1,0,0,7707,1
https://tinnhiemmang.vn/,108,24,1,0,1872,0,0,0,0,0,1872,1
https://www.google.com.vn/,61,26,1,0,8075,0,1,0,0,0,8075,2
https://www.facebook.com/,51,25,1,0,10292,1,1,0,0,1,10292,2
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://tinnhiemmang.vn/,122,24,1,0,1878,0,1,0,0,1,1878,1
https://chatgpt.com/,57,20,1,0,921,0,1,0,0,0,921,2
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://www.24h.com.vn/,120,23,1,0,7713,0,1,1,0,0,7713,1
https://chatgpt.com/,61,20,1,0,921,0,1,0,0,0,921,2
https://www.24h.com.vn/,116,23,1,0,7714,0,1,1,0,0,7714,1
https://tinnhiemmang.vn/,118,24,1,0,1879,0,0,0,0,0,1879,1
https://chatgpt.com/,61,20,1,0,922,0,1,0,0,0,922,2
https://www.24h.com.vn/,116,23,1,0,7714,0,1,1,0,0,7714,1
https://tinnhiemmang.vn/,108,24,1,0,1879,0,0,0,0,0,1879,1
https://chatgpt.com/,57,20,1,0,922,0,1,0,0,0,922,2
https://www.24h.com.vn/,116,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,116,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://chatgpt.com/,60,20,1,0,922,0,1,0,0,0,922,2
https://vn.search.yahoo.com/search?fr=mcafee&type=E210VN885G0&p=thpt,53,68,1,0,11100,0,1,0,0,0,11100,2
https://thisinh.thitotnghiepthpt.edu.vn/Account/Login,109,53,1,1,1833,0,0,0,0,0,1833,1
https://vn.search.yahoo.com/search?fr=mcafee&type=E210VN885G0&p=thpt+edi,53,72,1,0,11100,0,1,0,0,0,11100,2
https://thpt.vtech.edu.vn/,111,26,1,0,234,0,1,0,0,0,234,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://chatgpt.com/,60,20,1,0,922,0,1,0,0,0,922,2
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://www.24h.com.vn/,119,23,1,0,7714,0,1,1,0,0,7714,1
https://chatgpt.com/,56,20,1,0,922,0,1,0,0,0,922,2
https://dantri.com.vn/,128,22,1,0,7441,0,1,0,0,1,7441,1
https://www.24h.com.vn/,123,23,1,0,7715,0,1,1,0,0,7715,1
https://www.24h.com.vn/,123,23,1,0,7715,0,1,1,0,0,7715,1
https://chatgpt.com/,60,20,1,0,923,0,1,0,0,0,923,2
https://tinhte.vn/,69,18,1,0,6348,0,0,0,0,1,6348,2
https://www.24h.com.vn/,123,23,1,0,7715,0,1,1,0,0,7715,1
https://www.24h.com.vn/,123,23,1,0,7715,0,1,1,0,0,7715,1
https://www.24h.com.vn/,126,23,1,0,7716,0,1,1,0,0,7716,1
https://tinnhiemmang.vn/,124,24,1,0,1881,0,1,0,0,1,1881,1
https://tinnhiemmang.vn/danh-cho-website,122,40,1,0,1881,0,1,0,0,1,1881,1
https://tinnhiemmang.vn/website-tin-nhiem,124,41,1,0,1881,0,1,0,0,1,1881,1
https://tinnhiemmang.vn/website-lua-dao,124,39,1,0,1881,0,1,0,0,1,1881,1
https://napgamex5.com/cgi-sys/suspendedpage.cgi,48,47,1,0,351,0,1,0,0,0,351,2
https://suspended.hawkhost.com/,57,31,1,0,7076,0,1,0,0,0,7076,2
https://suspended.hawkhost.com/?__cf_chl_tk=xDOXzyZuGxuT4fNe3bXR9Czv3BQrq5dCGkCwlPD5bd4-1749625200-1.0.1.1-DqPVKS39crXGvfzVSj2WLkbfSpRgyYiTCCNNXYAYK5o,57,150,1,0,7076,0,1,0,0,0,7076,2
https://suspended.hawkhost.com/,57,31,1,0,7076,0,1,0,0,0,7076,2
https://www.24h.com.vn/,126,23,1,0,7716,0,1,1,0,0,7716,1
https://www.24h.com.vn/,126,23,1,0,7716,0,1,1,0,0,7716,1
https://tinnhiemmang.vn/,113,24,1,0,1881,0,0,0,0,0,1881,1
https://napgamex5.com,59,21,1,0,351,0,1,0,0,0,351,2
https://napgamex5.com/cgi-sys/suspendedpage.cgi,58,47,1,0,351,0,1,0,0,0,351,2
https://suspended.hawkhost.com/,57,31,1,0,7076,0,1,0,0,0,7076,2
http://muathecaore.net/,51,23,0,0,168,0,0,0,0,1,168,2
https://qfsgolden.info/sign-in.html,50,35,1,0,247,1,1,0,0,0,247,2
https://en.hanami.co.th/,60,24,1,0,0,0,0,0,0,1,0,2
https://kythuatdmayxanh.com/,119,28,1,0,736,0,0,1,0,1,736,1
http://tbaovn-cms.top/,43,22,0,0,292,0,0,0,0,0,292,2
https://chatgpt.com/,59,20,1,0,924,0,1,0,0,0,924,2
https://www.24h.com.vn/,126,23,1,0,7716,0,1,1,0,0,7716,1
https://tinnhiemmang.vn/,124,24,1,0,1881,0,1,0,0,1,1881,1
https://www.24h.com.vn/,117,23,1,0,7717,0,1,1,0,0,7717,1
https://chatgpt.com/,59,20,1,0,925,0,1,0,0,0,925,2
https://napgamex5.com/cgi-sys/suspendedpage.cgi,58,47,1,0,352,0,1,0,0,0,352,2
https://suspended.hawkhost.com/,57,31,1,0,7077,0,1,0,0,0,7077,2
https://www.24h.com.vn/,121,23,1,0,7717,0,1,1,0,0,7717,1
https://www.24h.com.vn/,117,23,1,0,7717,0,1,1,0,0,7717,1
https://www.24h.com.vn/,117,23,1,0,7717,0,1,1,0,0,7717,1
https://chatgpt.com/,59,20,1,0,925,0,1,0,0,0,925,2
